"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 29 20:06:40 GMT 2023","Sun Oct 29 20:06:40 GMT 2023","0","tests","test_text_box","","","","Test x",""
"passed","Sun Oct 29 20:06:34 GMT 2023","Sun Oct 29 20:06:39 GMT 2023","4747","tests","test_text_box","","","","Test text box form.","This test checks the data entered and the data in the displayed table."
